feature,performance_drift
YoY_PRICE_Colombia_5_Year_Bond_bond,YoY_PRICE_Colombia_5_Year_Bond_bond
YoY_Actual_US_ConferenceBoard_LEI_leading_economic_index,YoY_Actual_US_ConferenceBoard_LEI_leading_economic_index
YoY_Actual_UK_Retail_Sales_MoM_economics,YoY_Actual_UK_Retail_Sales_MoM_economics
YoY_Actual_U.S. All Car Sales_car_registrations,YoY_Actual_U.S. All Car Sales_car_registrations
YoY_Actual_Singapore_NonOil_Exports_YoY_economics,YoY_Actual_Singapore_NonOil_Exports_YoY_economics
YoY_Actual_Mexico_CPI_MoM_economics,YoY_Actual_Mexico_CPI_MoM_economics
YoY_Actual_IPC EEUU_economics,YoY_Actual_IPC EEUU_economics
YoY_Actual_IPC Colombia_economics,YoY_Actual_IPC Colombia_economics
YoY_Actual_China_M2_MoneySupply_YoY_economics,YoY_Actual_China_M2_MoneySupply_YoY_economics
YoY_Actual_China_Exports_exports,YoY_Actual_China_Exports_exports
YoY_AAA_Corporate_Bond_AAA_Spread_bond,YoY_AAA_Corporate_Bond_AAA_Spread_bond
YTD_PRICE_Japan_10Y_Bond_bond,YTD_PRICE_Japan_10Y_Bond_bond
YTD_Actual_UK_Retail_Sales_MoM_economics,YTD_Actual_UK_Retail_Sales_MoM_economics
YTD_Actual_Singapore_NonOil_Exports_YoY_economics,YTD_Actual_Singapore_NonOil_Exports_YoY_economics
YTD_Actual_Mexico_CPI_MoM_economics,YTD_Actual_Mexico_CPI_MoM_economics
YTD_Actual_Japan_Leading_Indicator_leading_economic_index,YTD_Actual_Japan_Leading_Indicator_leading_economic_index
YTD_Actual_IPC Colombia_economics,YTD_Actual_IPC Colombia_economics
YTD_Actual_China_Exports_exports,YTD_Actual_China_Exports_exports
USASLRTCR03GPSAM_US_Car_Registrations_MoM,USASLRTCR03GPSAM_US_Car_Registrations_MoM
PRICE_S&P500_Index_index_pricing_Return_Target,PRICE_S&P500_Index_index_pricing_Return_Target
MoM_UNRATE_US_Unemployment_Rate_unemployment_rate,MoM_UNRATE_US_Unemployment_Rate_unemployment_rate
MoM_PRICE_UK_10Y_Bond_bond,MoM_PRICE_UK_10Y_Bond_bond
MoM_PRICE_Japan_10Y_Bond_bond,MoM_PRICE_Japan_10Y_Bond_bond
MoM_PRICE_Italy_10Y_Bond_bond,MoM_PRICE_Italy_10Y_Bond_bond
MoM_PRICE_Germany_10Y_Bond_bond,MoM_PRICE_Germany_10Y_Bond_bond
MoM_PRICE_Colombia_10_Year_Bond_bond,MoM_PRICE_Colombia_10_Year_Bond_bond
MoM_PRICE_China_10Y_Bond_bond,MoM_PRICE_China_10Y_Bond_bond
MoM_PRICE_Australia_10Y_Bond_bond,MoM_PRICE_Australia_10Y_Bond_bond
MoM_ICSA_US_Initial_Jobless_Claims_unemployment_rate,MoM_ICSA_US_Initial_Jobless_Claims_unemployment_rate
MoM_Actual_US_ConferenceBoard_LEI_leading_economic_index,MoM_Actual_US_ConferenceBoard_LEI_leading_economic_index
MoM_Actual_UK_Retail_Sales_MoM_economics,MoM_Actual_UK_Retail_Sales_MoM_economics
MoM_Actual_U.S. All Car Sales_car_registrations,MoM_Actual_U.S. All Car Sales_car_registrations
MoM_Actual_Singapore_NonOil_Exports_YoY_economics,MoM_Actual_Singapore_NonOil_Exports_YoY_economics
MoM_Actual_Mexico_CPI_MoM_economics,MoM_Actual_Mexico_CPI_MoM_economics
MoM_Actual_Japan_M2_MoneySupply_YoY_economics,MoM_Actual_Japan_M2_MoneySupply_YoY_economics
MoM_Actual_Japan_Leading_Indicator_leading_economic_index,MoM_Actual_Japan_Leading_Indicator_leading_economic_index
MoM_Actual_IPC EEUU_economics,MoM_Actual_IPC EEUU_economics
MoM_Actual_IPC Colombia_economics,MoM_Actual_IPC Colombia_economics
MoM_Actual_Eurozone_Unemployment_Rate_unemployment_rate,MoM_Actual_Eurozone_Unemployment_Rate_unemployment_rate
MoM_Actual_China_M2_MoneySupply_YoY_economics,MoM_Actual_China_M2_MoneySupply_YoY_economics
MoM_Actual_China_Exports_exports,MoM_Actual_China_Exports_exports
MoM_AAA_Corporate_Bond_AAA_Spread_bond,MoM_AAA_Corporate_Bond_AAA_Spread_bond
MACD_signal_PRICE_PHP_ZAR_exchange_rate,MACD_signal_PRICE_PHP_ZAR_exchange_rate
MACD_signal_PRICE_Nickel_Futures_commodities,MACD_signal_PRICE_Nickel_Futures_commodities
MACD_signal_PRICE_Lead_Futures_commodities,MACD_signal_PRICE_Lead_Futures_commodities
MACD_signal_PRICE_Iron_ore_fines_62%_Fe_CFR_Futures_commodities,MACD_signal_PRICE_Iron_ore_fines_62%_Fe_CFR_Futures_commodities
MACD_signal_PRICE_EUR_GBP_Cross_exchange_rate,MACD_signal_PRICE_EUR_GBP_Cross_exchange_rate
MACD_signal_PRICE_Copper_Futures_commodities,MACD_signal_PRICE_Copper_Futures_commodities
MACD_signal_PRICE_BRL_NZD_exchange_rate,MACD_signal_PRICE_BRL_NZD_exchange_rate
MACD_PRICE_NOK_AUD_exchange_rate,MACD_PRICE_NOK_AUD_exchange_rate
GDP_US_GDP_Growth_economics,GDP_US_GDP_Growth_economics
GBRSLRTCR03GPSAM_United_Kingdom_Car_Registrations_MoM,GBRSLRTCR03GPSAM_United_Kingdom_Car_Registrations_MoM
ESI_GACDISA_US_Empire_State_Index_business_confidence,ESI_GACDISA_US_Empire_State_Index_business_confidence
ESI_AWCDISA_US_Empire_State_Index_business_confidence,ESI_AWCDISA_US_Empire_State_Index_business_confidence
ECBDFR_ECB_Deposit_Rate_economics,ECBDFR_ECB_Deposit_Rate_economics
DNKSLRTCR03GPSAM_Denmark_Car_Registrations_MoM,DNKSLRTCR03GPSAM_Denmark_Car_Registrations_MoM
CSCICP02CHQ460S_Switzerland_Consumer_Confidence_consumer_confidence,CSCICP02CHQ460S_Switzerland_Consumer_Confidence_consumer_confidence
Actual_US_Philly_Fed_Index_business_confidence,Actual_US_Philly_Fed_Index_business_confidence
Abs_Change_Actual_U.S. All Car Sales_car_registrations,Abs_Change_Actual_U.S. All Car Sales_car_registrations
6M_change_PRICE_NOK_AUD_exchange_rate,6M_change_PRICE_NOK_AUD_exchange_rate
6M_change_PRICE_Japan_10Y_Bond_bond,6M_change_PRICE_Japan_10Y_Bond_bond
6M_change_PRICE_Iron_ore_fines_62%_Fe_CFR_Futures_commodities,6M_change_PRICE_Iron_ore_fines_62%_Fe_CFR_Futures_commodities
6M_change_PRICE_Germany_10Y_Bond_bond,6M_change_PRICE_Germany_10Y_Bond_bond
6M_change_PRICE_EUR_GBP_Cross_exchange_rate,6M_change_PRICE_EUR_GBP_Cross_exchange_rate
6M_change_PRICE_CNY_USD_Spot_exchange_rate,6M_change_PRICE_CNY_USD_Spot_exchange_rate
6M_change_PAYEMS_US_Nonfarm_Payrolls_unemployment_rate,6M_change_PAYEMS_US_Nonfarm_Payrolls_unemployment_rate
6M_change_Actual_US_ConferenceBoard_LEI_leading_economic_index,6M_change_Actual_US_ConferenceBoard_LEI_leading_economic_index
6M_change_Actual_UK_Retail_Sales_MoM_economics,6M_change_Actual_UK_Retail_Sales_MoM_economics
6M_change_Actual_U.S. All Car Sales_car_registrations,6M_change_Actual_U.S. All Car Sales_car_registrations
6M_change_Actual_Singapore_NonOil_Exports_YoY_economics,6M_change_Actual_Singapore_NonOil_Exports_YoY_economics
6M_change_Actual_Mexico_CPI_MoM_economics,6M_change_Actual_Mexico_CPI_MoM_economics
6M_change_Actual_Japan_M2_MoneySupply_YoY_economics,6M_change_Actual_Japan_M2_MoneySupply_YoY_economics
6M_change_Actual_IPC EEUU_economics,6M_change_Actual_IPC EEUU_economics
6M_change_Actual_Eurozone_Unemployment_Rate_unemployment_rate,6M_change_Actual_Eurozone_Unemployment_Rate_unemployment_rate
6M_change_Actual_China_M2_MoneySupply_YoY_economics,6M_change_Actual_China_M2_MoneySupply_YoY_economics
6M_change_Actual_China_Exports_exports,6M_change_Actual_China_Exports_exports
6M_change_AAA_Corporate_Bond_AAA_Spread_bond,6M_change_AAA_Corporate_Bond_AAA_Spread_bond
3M_change_UNRATE_US_Unemployment_Rate_unemployment_rate,3M_change_UNRATE_US_Unemployment_Rate_unemployment_rate
3M_change_PRICE_UK_10Y_Bond_bond,3M_change_PRICE_UK_10Y_Bond_bond
3M_change_PRICE_Shanghai_Composite_index_pricing,3M_change_PRICE_Shanghai_Composite_index_pricing
3M_change_PRICE_Platinum_Spot_commodities,3M_change_PRICE_Platinum_Spot_commodities
3M_change_PRICE_NOK_AUD_exchange_rate,3M_change_PRICE_NOK_AUD_exchange_rate
3M_change_PRICE_Lead_Futures_commodities,3M_change_PRICE_Lead_Futures_commodities
3M_change_PRICE_Japan_10Y_Bond_bond,3M_change_PRICE_Japan_10Y_Bond_bond
3M_change_PRICE_JPY_EUR_exchange_rate,3M_change_PRICE_JPY_EUR_exchange_rate
3M_change_PRICE_Germany_10Y_Bond_bond,3M_change_PRICE_Germany_10Y_Bond_bond
3M_change_PRICE_CrudeOil_WTI_commodities,3M_change_PRICE_CrudeOil_WTI_commodities
3M_change_PRICE_BRL_NZD_exchange_rate,3M_change_PRICE_BRL_NZD_exchange_rate
3M_change_Actual_US_ConferenceBoard_LEI_leading_economic_index,3M_change_Actual_US_ConferenceBoard_LEI_leading_economic_index
3M_change_Actual_UK_Retail_Sales_MoM_economics,3M_change_Actual_UK_Retail_Sales_MoM_economics
3M_change_Actual_U.S. All Car Sales_car_registrations,3M_change_Actual_U.S. All Car Sales_car_registrations
3M_change_Actual_Singapore_NonOil_Exports_YoY_economics,3M_change_Actual_Singapore_NonOil_Exports_YoY_economics
3M_change_Actual_Mexico_CPI_MoM_economics,3M_change_Actual_Mexico_CPI_MoM_economics
3M_change_Actual_Japan_M2_MoneySupply_YoY_economics,3M_change_Actual_Japan_M2_MoneySupply_YoY_economics
3M_change_Actual_Japan_Leading_Indicator_leading_economic_index,3M_change_Actual_Japan_Leading_Indicator_leading_economic_index
3M_change_Actual_IPC EEUU_economics,3M_change_Actual_IPC EEUU_economics
3M_change_Actual_IPC Colombia_economics,3M_change_Actual_IPC Colombia_economics
3M_change_Actual_Eurozone_Unemployment_Rate_unemployment_rate,3M_change_Actual_Eurozone_Unemployment_Rate_unemployment_rate
3M_change_Actual_China_M2_MoneySupply_YoY_economics,3M_change_Actual_China_M2_MoneySupply_YoY_economics
3M_change_Actual_China_Exports_exports,3M_change_Actual_China_Exports_exports
3M_change_AAA_Corporate_Bond_AAA_Spread_bond,3M_change_AAA_Corporate_Bond_AAA_Spread_bond
