date;Valor_Real;Valor_Predicho;Modelo;Tipo_Mercado;Periodo;Version
18/11/2020;1,1852;1,1852;MLP;EUR;Training;Trial_10
19/11/2020;1,1873;1,1873;MLP;EUR;Training;Trial_10
20/11/2020;1,1853;1,1853;MLP;EUR;Training;Trial_10
23/11/2020;1,184;1,184;MLP;EUR;Training;Trial_10
24/11/2020;1,1888;1,1888;MLP;EUR;Training;Trial_10
25/11/2020;1,1913;1,1913;MLP;EUR;Training;Trial_10
27/11/2020;1,1962;1,1962;MLP;EUR;Training;Trial_10
30/11/2020;1,1928;1,1928;MLP;EUR;Training;Trial_10
1/12/2020;1,207;1,207;MLP;EUR;Training;Trial_10
2/12/2020;1,2115;1,2115;MLP;EUR;Training;Trial_10
3/12/2020;1,214;1,214;MLP;EUR;Training;Trial_10
4/12/2020;1,212;1,212;MLP;EUR;Training;Trial_10
7/12/2020;1,2108;1,2108;MLP;EUR;Training;Trial_10
8/12/2020;1,2101;1,2101;MLP;EUR;Training;Trial_10
9/12/2020;1,2081;1,2081;MLP;EUR;Training;Trial_10
10/12/2020;1,2136;1,2136;MLP;EUR;Training;Trial_10
11/12/2020;1,2111;1,2111;MLP;EUR;Training;Trial_10
14/12/2020;1,2143;1,2143;MLP;EUR;Training;Trial_10
15/12/2020;1,2151;1,2151;MLP;EUR;Training;Trial_10
16/12/2020;1,2197;1,2197;MLP;EUR;Training;Trial_10
17/12/2020;1,2266;1,2266;MLP;EUR;Training;Trial_10
18/12/2020;1,2255;1,2255;MLP;EUR;Training;Trial_10
21/12/2020;1,2242;1,2242;MLP;EUR;Training;Trial_10
22/12/2020;1,2161;1,2161;MLP;EUR;Training;Trial_10
23/12/2020;1,2185;1,2185;MLP;EUR;Training;Trial_10
24/12/2020;1,2186;1,2186;MLP;EUR;Training;Trial_10
28/12/2020;1,2214;1,2214;MLP;EUR;Training;Trial_10
29/12/2020;1,2247;1,2247;MLP;EUR;Training;Trial_10
30/12/2020;1,2295;1,2295;MLP;EUR;Training;Trial_10
31/12/2020;1,2213;1,2213;MLP;EUR;Training;Trial_10
4/01/2021;1,2248;1,2248;MLP;EUR;Training;Trial_10
5/01/2021;1,2294;1,2294;MLP;EUR;Training;Trial_10
6/01/2021;1,2325;1,2325;MLP;EUR;Training;Trial_10
7/01/2021;1,227;1,227;MLP;EUR;Training;Trial_10
8/01/2021;1,2218;1,2218;MLP;EUR;Training;Trial_10
11/01/2021;1,2149;1,2149;MLP;EUR;Training;Trial_10
12/01/2021;1,2207;1,2207;MLP;EUR;Training;Trial_10
13/01/2021;1,2157;1,2157;MLP;EUR;Training;Trial_10
14/01/2021;1,2156;1,2156;MLP;EUR;Training;Trial_10
15/01/2021;1,2078;1,2078;MLP;EUR;Training;Trial_10
19/01/2021;1,2128;1,2128;MLP;EUR;Training;Trial_10
20/01/2021;1,2104;1,2104;MLP;EUR;Training;Trial_10
21/01/2021;1,2162;1,2162;MLP;EUR;Training;Trial_10
22/01/2021;1,2167;1,2167;MLP;EUR;Training;Trial_10
25/01/2021;1,2137;1,2137;MLP;EUR;Training;Trial_10
26/01/2021;1,216;1,216;MLP;EUR;Training;Trial_10
27/01/2021;1,2108;1,2108;MLP;EUR;Training;Trial_10
28/01/2021;1,2121;1,2121;MLP;EUR;Training;Trial_10
29/01/2021;1,2136;1,2136;MLP;EUR;Training;Trial_10
1/02/2021;1,2059;1,2059;MLP;EUR;Training;Trial_10
2/02/2021;1,2042;1,2042;MLP;EUR;Training;Trial_10
3/02/2021;1,2034;1,2034;MLP;EUR;Training;Trial_10
4/02/2021;1,1962;1,1962;MLP;EUR;Training;Trial_10
5/02/2021;1,2042;1,2042;MLP;EUR;Training;Trial_10
8/02/2021;1,2048;1,2048;MLP;EUR;Training;Trial_10
9/02/2021;1,2117;1,2117;MLP;EUR;Training;Trial_10
10/02/2021;1,2116;1,2116;MLP;EUR;Training;Trial_10
11/02/2021;1,2128;1,2128;MLP;EUR;Training;Trial_10
12/02/2021;1,2118;1,2118;MLP;EUR;Training;Trial_10
16/02/2021;1,2104;1,2104;MLP;EUR;Training;Trial_10
17/02/2021;1,2036;1,2036;MLP;EUR;Training;Trial_10
18/02/2021;1,2088;1,2088;MLP;EUR;Training;Trial_10
19/02/2021;1,2117;1,2117;MLP;EUR;Training;Trial_10
22/02/2021;1,2154;1,2154;MLP;EUR;Training;Trial_10
23/02/2021;1,2149;1,2149;MLP;EUR;Training;Trial_10
24/02/2021;1,2164;1,2164;MLP;EUR;Training;Trial_10
25/02/2021;1,2176;1,2176;MLP;EUR;Training;Trial_10
26/02/2021;1,2074;1,2074;MLP;EUR;Training;Trial_10
1/03/2021;1,2047;1,2047;MLP;EUR;Training;Trial_10
2/03/2021;1,2089;1,2089;MLP;EUR;Training;Trial_10
3/03/2021;1,2062;1,2062;MLP;EUR;Training;Trial_10
4/03/2021;1,1966;1,1966;MLP;EUR;Training;Trial_10
5/03/2021;1,1917;1,1917;MLP;EUR;Training;Trial_10
8/03/2021;1,1843;1,1843;MLP;EUR;Training;Trial_10
9/03/2021;1,1898;1,1898;MLP;EUR;Training;Trial_10
10/03/2021;1,1925;1,1925;MLP;EUR;Training;Trial_10
11/03/2021;1,1984;1,1984;MLP;EUR;Training;Trial_10
12/03/2021;1,1952;1,1952;MLP;EUR;Training;Trial_10
15/03/2021;1,1928;1,1928;MLP;EUR;Training;Trial_10
16/03/2021;1,19;1,19;MLP;EUR;Training;Trial_10
17/03/2021;1,1978;1,1978;MLP;EUR;Training;Trial_10
18/03/2021;1,1915;1,1915;MLP;EUR;Training;Trial_10
19/03/2021;1,1903;1,1903;MLP;EUR;Training;Trial_10
22/03/2021;1,1931;1,1931;MLP;EUR;Training;Trial_10
23/03/2021;1,1849;1,1849;MLP;EUR;Training;Trial_10
24/03/2021;1,1812;1,1812;MLP;EUR;Training;Trial_10
25/03/2021;1,1764;1,1764;MLP;EUR;Training;Trial_10
26/03/2021;1,1796;1,1796;MLP;EUR;Training;Trial_10
29/03/2021;1,1762;1,1762;MLP;EUR;Training;Trial_10
30/03/2021;1,1714;1,1714;MLP;EUR;Training;Trial_10
31/03/2021;1,1728;1,1728;MLP;EUR;Training;Trial_10
1/04/2021;1,1775;1,1775;MLP;EUR;Training;Trial_10
5/04/2021;1,1811;1,1811;MLP;EUR;Training;Trial_10
6/04/2021;1,1875;1,1875;MLP;EUR;Training;Trial_10
7/04/2021;1,187;1,187;MLP;EUR;Training;Trial_10
8/04/2021;1,1912;1,1912;MLP;EUR;Training;Trial_10
9/04/2021;1,1896;1,1896;MLP;EUR;Training;Trial_10
12/04/2021;1,1909;1,1909;MLP;EUR;Training;Trial_10
13/04/2021;1,1946;1,1946;MLP;EUR;Training;Trial_10
14/04/2021;1,1978;1,1978;MLP;EUR;Training;Trial_10
15/04/2021;1,1965;1,1965;MLP;EUR;Training;Trial_10
